symbol,valid_minutes,avg_spread_bps,median_spread_bps,p95_spread_bps,p99_spread_bps,avg_volume,median_volume,quote_updates,trade_count,missing_rate
XLK,23790,3.66100559167734,0.7331647054524967,20.083302779652445,36.64548190468948,48324.92165381862,33107.5,866935676,15488243,0.0
AAPL,23790,52.121194084630766,4.003282706243675,318.7250996015936,717.0377118563641,87804.17929065783,58424.61287199988,269172496,40875351,0.0
MSFT,23790,47.872238009398494,6.476072602856105,256.23909799891163,597.9320087153811,72001.52313975545,48074.145941,119405082,47946026,0.0
NVDA,23790,17.77381251702924,1.5703928642502993,88.6165721209261,433.0927728588942,392956.8528477076,298887.4937870001,1266403528,145618934,0.0
AVGO,23790,92.11929752424139,14.2182933038527,517.8610723978575,811.5402219030644,52657.51158175006,36096.8040075,81248438,28152243,0.0
ORCL,23790,83.80801259699679,10.32524522457472,480.13801430427685,816.0183817495473,62346.80938573072,40337.5,83779680,24723462,0.0
CRM,23790,138.50524462173914,16.190313327457993,765.5256932767124,1055.8143817767966,27353.46717275477,18182.5,31306726,10724378,0.0
AMD,23790,81.00368107198216,12.272024390708765,488.51283473151756,839.671737389912,85264.28346538397,59002.058873500006,132291465,30065870,0.0
CSCO,23790,27.73728285290043,2.573505768872132,67.70777607903723,753.9387423982673,44319.96765416082,27611.0064025,134306581,12060213,0.0
