feature,importance
abs_signal_bps,0.23575705443534425
signal_mean_60m,0.12611209765746337
signal_mean_120m,0.09538333732852776
signal_bps,0.08718961810185452
signal_mean_390m,0.07995468728368253
xlk_ret_1950m_bps,0.048742912950856525
resid_ret_780m_bps,0.035062769985083016
signal_mean_780m,0.03455880506329751
resid_ret_1950m_bps,0.033283592978050135
signal_slope_390m,0.030596194659684106
xlk_vol_780m_bps,0.024499810452795864
signal_slope_780m,0.018753611514666205
resid_vol_390m_bps,0.018268947984695104
spread_mean_120m,0.01686632721550016
basket_ret_780m_bps,0.014686180205725107
signal_std_390m,0.012263016448303488
xlk_vol_390m_bps,0.011675688844801711
xlk_ret_780m_bps,0.010795010268711514
signal_std_780m,0.01022613773501027
resid_ret_390m_bps,0.009222783205727636
basket_ret_1950m_bps,0.008567037820763708
resid_vol_780m_bps,0.008469908771617005
xlk_vol_60m_bps,0.005789826066540145
xlk_spread_bps,0.004860537840692369
xlk_vol_120m_bps,0.004694703021824453
xlk_ret_390m_bps,0.003019201459511778
resid_vol_60m_bps,0.0021183186004033244
signal_sign,0.0018522341091747297
basket_ret_390m_bps,0.0009462558008401461
signal_slope_60m,0.0008882971372241609
basket_ret_120m_bps,0.0007301302298200471
xlk_ret_60m_bps,0.0006652120817315963
resid_vol_120m_bps,0.0006217210749797699
signal_std_120m,0.0006210261775037104
signal_std_60m,0.000588955995297614
resid_ret_120m_bps,0.0005123974876487318
resid_ret_60m_bps,0.00039390217403874697
basket_ret_60m_bps,0.0003075089464668425
xlk_ret_120m_bps,0.00025578961877963303
xlk_ret_30m_bps,0.00013492389214178453
basket_ret_30m_bps,5.6865150708738124e-05
resid_ret_30m_bps,4.314516964734692e-06
xlk_micro_gap_bps,1.6075518331026182e-06
basket_imbalance,7.401537122850684e-07
signal_slope_120m,0.0
xlk_imbalance,0.0
imbalance_diff,0.0
