month,xlk_return_bps,basket_return_bps,xlk_basket_corr_1m,xlk_on_basket_beta_1m,residual_vol_bps_1m,xlk_realized_vol_bps_1m,median_xlk_spread_bps,p90_xlk_spread_bps,signal_mean_bps,signal_std_bps,signal_p10_bps,signal_p90_bps,abs_signal_gt_60_frac
2025-05,381.5916455507917,495.9927795230092,0.6753390871681813,0.6074130927386853,4.443908770362765,6.025578814898086,2.1461530246643035,13.764200471402788,13.38580103881219,180.08290717102216,-183.68992839443678,265.53139715957445,0.7301567858892699
2025-06,368.5583675807802,481.64674975477396,0.4425915320992022,0.4026670691293167,4.864989271352199,5.42529573283187,1.6831837102751668,18.49537931939627,129.33743051514034,91.90161805524502,40.513611352917806,276.0326150345633,0.8429783950617284
2025-07,-64.64942928278816,-277.34712676586963,0.5591918155112008,0.4647620870933635,3.4994414850242714,4.221085392608721,0.7961466552591823,6.6596437440506655,120.13792219188947,51.18172942050989,36.09594427244461,172.0423730841101,0.8598009006873667
2025-08,-24.409062477426247,232.7097870089683,0.637035218723247,0.5329581228012096,3.8488561853263543,4.993101893677754,0.7643506840953396,5.336996753758062,-3.4211889579786177,95.03306036089096,-121.0406904995502,144.64936983001246,0.578146101903008
2025-09,322.1989963511351,376.88122776229517,0.588552345715877,0.4621691201957569,3.5260173346540005,4.361404653323949,0.7332991127074067,3.455332359956999,70.36868909187535,168.2956782327049,-194.95126861924845,291.38685107882793,0.7769183548189073
2025-10,-317.9888372316153,-445.0894332256783,0.6405567039307649,0.5658614820176674,4.273771562996579,5.565452596935062,0.996264009961734,4.961129000520839,189.90676461613103,108.78963179483756,32.18198996864177,349.86464225697506,0.9039579606440071
2025-11,-248.12382583157876,-246.40141956430475,0.7761016467352339,0.7263642752943408,4.873088798374434,7.7276059297856055,1.029883794779504,12.76813350217961,-52.65634084503067,210.4888738019003,-422.5342059149843,149.7061828324193,0.6585564768247927
2025-12,-133.08405928274425,-179.86919481025942,0.5940548114313661,0.4980259905540926,4.2081239208610555,5.231222544877555,1.3714599190845667,11.575651366901825,-1482.2646243754186,2167.7281604972286,-5222.652693915335,214.28334550503794,0.9187058823529411
2026-01,-295.6996131993517,-244.16921320482192,0.6018411337649182,0.5169928396558869,4.406047583331034,5.517105218611991,0.6942274983525514,4.87224392482132,81.72985161613921,93.64992793172046,-35.26591086236963,198.1248964469944,0.628137469429785
2026-02,-309.4288019569458,-409.31842625548205,0.708435133962656,0.7113758634898226,5.561412745339065,7.879856087947239,0.7242440702530746,4.1802525392042265,-25.798773047491185,135.2966073321277,-204.61283268768992,141.73906263129118,0.775648865334964
2026-03,-292.89168369180277,-346.2807983990492,0.6655734354187466,0.6793187848847472,5.5210267245454325,7.397544269149411,0.7736644617222471,9.44609550073899,-45.75552787573228,183.38161791861353,-296.5166496775641,195.80574250363358,0.8208955223880597
2026-04,1262.8552151203464,1321.395198050023,0.6027588747199554,0.5539542759172497,4.725864598227058,5.9227046702308135,1.2718600953883503,5.172923739227416,122.64239535238124,117.39114714468809,-23.198433634732837,236.095678127488,0.8463615167505215
