selection_type,decision,reason,strategy,state_kind,lookback_min,trend_threshold_bps,train_net_bps,validation_net_bps,test_net_bps,test_2x_cost_net_bps,mar_net_bps,apr_net_bps
walk_forward_selected,no_trade,No no-short-into-uptrend rule passed train/validation filters.,,,,,,,,,,
test_oracle_not_selectable,diagnostic_only,best test row shown only to measure possible shape; not honest selection,short_uptrend_multi_day_trend_lb3900_thr200_flat,multi_day_trend,3900.0,200.0,-3268.649577169525,24.542315078929825,-37.71146359835037,-277.4486897235235,-32.40451257482201,-5.306951023528391
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb780_thr0_flat,multi_day_trend,780.0,0.0,-3797.5974721091097,-18.58982178978473,-302.4004028555235,-642.9441600014056,-108.81850102192628,-193.5819018335972
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb780_thr50_flat,multi_day_trend,780.0,50.0,-3834.2543545793696,16.74347136693316,-534.2911572473593,-1018.4959034450882,-54.23826475419925,-480.05289249316
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb390_thr50_flat,multi_day_trend,390.0,50.0,-4401.367519575989,51.27478068677836,-940.5323340138297,-1463.1573564461694,61.560990948443816,-1002.0933249622732
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb120_thr25_flat,intraday_trend,120.0,25.0,-5110.468665880442,-174.9561721881847,-1403.3330192171543,-2261.631204121869,-117.02719336483408,-1286.30582585232
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_multi_day_trend_lb390_thr0_flat,multi_day_trend,390.0,0.0,-5136.819065938669,-230.8236659777784,-956.9295718041908,-1598.5329642782642,-145.04193719090648,-811.8876346132845
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb120_thr0_flat,intraday_trend,120.0,0.0,-6100.817061152677,-22.10151306045925,-1409.258928638489,-2362.2231432976646,-295.8432874245823,-1113.4156412139066
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb60_thr25_flat,intraday_trend,60.0,25.0,-6132.095309652561,-154.47350894462994,-1508.4867420512946,-2463.57021018235,-333.4596965361531,-1175.0270455151413
predefined_reference,diagnostic_only,predefined no-short stress row,short_uptrend_intraday_trend_lb60_thr0_flat,intraday_trend,60.0,0.0,-8997.703368142598,-214.2671516220318,-1657.4277795601784,-2793.2074320481915,-604.9554520464126,-1052.472327513766
