symbol,name,official_weight_pct,official_weight,basket_weight,used_in_clean_panel
NVDA,NVIDIA CORP,14.491979,0.14491979,0.1860692694318254,True
AAPL,APPLE INC,12.359639,0.12359639,0.1586911628267676,True
MSFT,MICROSOFT CORP,9.248407,0.09248407,0.1187446058194108,True
AVGO,BROADCOM INC,6.002543,0.06002543,0.0770694458460861,True
MU,MICRON TECHNOLOGY INC,4.466751,0.04466751,0.0573506969133667,True
AMD,ADVANCED MICRO DEVICES,4.302591,0.0430259099999999,0.0552429701998565,True
INTC,INTEL CORP,3.423652,0.03423652,0.0439578629274033,True
CSCO,CISCO SYSTEMS INC,2.656298,0.02656298,0.0341054474515329,True
PLTR,PALANTIR TECHNOLOGIES INC A,2.408859,0.02408859,0.0309284628617166,True
LRCX,LAM RESEARCH CORP,2.346477,0.02346477,0.0301275113032237,True
AMAT,APPLIED MATERIALS INC,2.260412,0.02260412,0.0290224826750667,True
ORCL,ORACLE CORP,2.132692,0.02132692,0.027382626097036,True
TXN,TEXAS INSTRUMENTS INC,1.866743,0.01866743,0.0239679829943842,True
KLAC,KLA CORP,1.656302,0.0165630199999999,0.0212660329619903,True
IBM,INTL BUSINESS MACHINES CORP,1.588645,0.01588645,0.0203973532211523,True
ADI,ANALOG DEVICES INC,1.422374,0.01422374,0.0182625223952383,True
QCOM,QUALCOMM INC,1.382441,0.01382441,0.0177498040055538,True
ANET,ARISTA NETWORKS INC,1.305285,0.01305285,0.0167591621786313,True
SNDK,SANDISK CORP,1.282463,0.0128246299999999,0.0164661398890618,False
APH,AMPHENOL CORP CL A,1.280307,0.01280307,0.0164384580006948,True
